Season,Episode,Character,Line
13,1,Cartman,"Would you look at that? It's just incredible, isn't it?
"
13,1,Stan,"I still can't believe it, even though it's right there in front of me.
"
13,1,Kyle,"Yeah, it's just so astounding.
"
13,1,Cartman,"Well, believe it friends. The impossible has happened.  Kenny has a girlfriend.
"
13,1,Craig,"Yeah, a fifth-grade girlfriend.
"
13,1,Kyle,"This is serious. They've been going out for almost two weeks now.
"
13,1,Jimmy,"Well, so, w-who is she?
"
13,1,Cartman,"Her name's Tammy Warner. She's the only girl in school whose family is actually poorer than Kenny's. It's really kind of beautiful if you ask me.
"
13,1,Butters,"Hey, you guys! You guys, I think we have a big problem!
"
13,1,Stan,"What?
"
13,1,Butters,"Well, apparently Kenny has a girlfriend!
"
13,1,Stan,"Yeah, dude, Tammy Warner. She's a fifth grader.
"
13,1,Butters,"Um, does Kenny like her?
"
13,1,Kyle,"I guess so. She's, like, his first real girlfriend ever.
"
13,1,Butters,"Oh, no. Oh, geez!
"
13,1,Cartman,"Butters, what's the problem?
"
13,1,Butters,"Well, I just talked to Brad Dixon. Tammy Warner is bad news. All the fifth graders call her a slut, on account of she gave this kid Dave Darsky a B.J. in the parking lot of TGI Friday's.
"
13,1,Kyle,"What?!
"
13,1,Butters,"It's true! Ask anybody in fifth grade. Tammy Warner is a total slut!
"
13,1,Cartman,"That bitch! Kenny gave his heart to her, and she's just gonna throw it in his face!
"
13,1,Jimmy,"Well, Kenny deserves to know, fellas. If you guys found out my girlfriend was a raging whore, I'd want you to t-tell me.
"
13,1,Stan,"All right, come on, guys.
"
13,1,Butters,"Hey, Jimmy, what's a B.J.?
"
13,1,Girl 1,"So, anyway, I passed him a note, but then Johnny...
"
13,1,Stan,"Kenny! Hey, hey, Kenny!
"
13,1,Kenny,"(Oh, hi, guys.)
"
13,1,Stan,"Listen, Kenny, we need to talk about your new girlfriend.
"
13,1,Kenny,"(What about her?)
"
13,1,Stan,"Oh, boy.
"
13,1,Kyle,"Kenny, we know you really like this girl, but...
"
13,1,Kenny,"(But what?)
"
13,1,Kyle,"W-well, we've heard that she's...
"
13,1,Cartman,"Kenny.  Your girlfriend is a notorious whore. She even gave a kid named Dave Darsky a B.J. in the parking lot of TGI Friday's.
"
13,1,Kenny,"(Huh?)
"
13,1,Cartman,"Your girlfriend's a slut, dude.
"
13,1,Kenny,"(Woo-hoo! Woo-hoo-hoo! Yeah, hey, yay!)
"
13,1,Cartman,"He took it pretty well.
"
13,1,Kenny,"(Hey, Tammy!)
"
13,1,Tammy,"Hi, Ken. You decide what you wanna do after school?
"
13,1,Kenny,"(Yeah, I was kinda thinking we could go to TGI Friday's.)
"
13,1,Tammy,"TGI Friday's?
"
13,1,Kenny,"(Yep. I like the food!)
"
13,1,Tammy,"Yeah, okay. But...  Kenny. Listen. Uh, there's somethin' I need to talk to you about. There's a lot of rumors goin' around about me, that I agreed to give a boy a B.J.? Well, it's true.  But it was before you and I were together, and it wasn't my fault!  See, I was watchin' the Disney Channel, and that show came on with the Jonas Brothers.
"
13,1,Kenny,"(Jonas Brothers?)
"
13,1,Tammy,"You know that teenage boy band? Every time I see them I get so tingly. I just completely lose control.  And then Dave Darsky showed up and took me to TGI Friday's,  and it just happened. But it was only for one second, and I had my eyes closed. I know it's terrible. Can you... can you forgive me, Ken?
"
13,1,Clerk,"There you are, young man. Two tickets to the Jonas Brothers concert.
"
13,1,Kenny,"(Thanks.)
"
13,1,Cartman,"The Jonas Brothers? Dude, Kenny, what the hell is wrong with you?
"
13,1,Kyle,"Aren't those the queermos on the Disney Channel?
"
13,1,Kenny,"(Yeah. Tammy said if I got her the tickets for the concert, she would give me a B.J.!)
"
13,1,Stan,"A B.J.?
"
13,1,Kyle,"You want Tammy to give you a B.J.?
"
13,1,Kenny,"(Of course, dude!)
"
13,1,Cartman,"Kenny! You're gonna let a girl put her mouth on your wiener? Do you know how disgusting that is? Girls' mouths are full of germs!
"
13,1,Stan,"Yeah, dude, that's gross.
"
13,1,Kenny,"(I don't care. I've gotta get some protection.)
"
13,1,Kyle,"What kind of protection?
"
13,1,Kenny,"(I'd like a box of condoms, please.)
"
13,1,Clerk 2,"Box of condoms. Certainly, little boy. What kind would you like?
"
13,1,Kenny,"(Uhm, I'll take one of those.)
"
13,1,Clerk 2,"These here? Why, certainly.
"
13,1,Kenny,"(Cool!)
"
13,1,Kyle,"Kenny, aren't you a little young for this?
"
13,1,Kenny,"(No, I'm not young and I want a B.J.)
"
13,1,Cartman,"Just because you have condoms doesn't mean you're safe, Kenny! Statistically speaking, the most bacteria-ridden place on the planet is the mouth of an American woman! And you're gonna let that near your penis?
"
13,1,Kenny,"(Yep! Woo-hoo!)
"
13,1,Tammy,"Go, baby! Whoooo! Kenny, you're the best for bringing me here. Isn't this awesome?
"
13,1,Joe Jonas,"I'm ready to get it on. But there's no gettin' on until I'm ready. Too soon, slow down. Take it easy, oh, my girl, I need your love. Bay-bay!
"
13,1,Jonas Brothers,"I can't wait till the day I kiss you. Until then I have to tease you. 'Cause my mom doesn't like it when I'm naughty. She'll make me clean my room if I'm naughty.
"
13,1,Joe,"Bay-bay! I'm hot.
"
13,1,Nick Jonas,"He's hot.
"
13,1,Little Girl,"My 'giney tickles!
"
13,1,Tammy,"Oh, my God. It's that tingling again.  I love you!
"
13,1,Joe,"Tell me how was I to know?
"
13,1,Jonas Brothers,"You'd take your love and go.
"
13,1,Joe,"Was it 'cause I wanted to wait till we were married...
"
13,1,Jonas Brothers,"To put my arm around you?
"
13,1,Joe,"The seasons change.
"
13,1,Kevin Jonas,"Bay-bay!
"
13,1,Joe,"And the world goes round.
"
13,1,Nick,"The world goes round and round and round.
"
13,1,Jonas Brothers,"Yeah, yeah, I'm gonna take my time. Can't wait 'til you are mine, but it might be a while. 'Cause, yeah yeah, girl, we can take it slow, so we have room to grow. And then someday we can get it on. Until then, go back to Montreal.
"
13,1,Joe,"'Cause I still love you, bay-bay!
"
13,1,Nick,"Love you, bay-bay!
"
13,1,Kevin,"Bay-bay!
"
13,1,Tammy,"Whoooooo!  Aaah-oww!  You're so hot, Kevin! I love you, Joe!
"
13,1,The Jonas Brothers,"Good night, Denver. We love you all!  We love you, Denver!  Good night!
"
